config/bagging_fraction,config/bagging_freq,config/boost_from_average,config/boosting_type,config/class_weight,config/colsample_bytree,config/feature_fraction,config/iterations,config/learning_rate,config/max_depth,config/metric,config/min_child_samples,config/min_data_in_leaf,config/num_leaves,config/num_threads,config/objective,config/reg_alpha,config/reg_lambda,config/seed,config/subsample_for_bin,config/tree_learner,config/use_missing,config/verbosity,mean_loss,time_total_s,training_iteration,trial_id
{'gbdt': 0.9677082256070401},{'gbdt': 14},false,"{'boosting_type': 'gbdt', 'subsample': 0.5580994165517573}",balanced,0.9266673870452746,0.2987722432309845,100,0.007419892877765441,-1,root_mean_squared_error,91,15,98,1,regression,0.6095363176074523,0.7676413426177666,99999,10,serial,True,1,0.043818580001266434,243.0906527042389,1,7c2a269e
{'gbdt': 0.9623453284814553},{'gbdt': 15},false,"{'boosting_type': 'gbdt', 'subsample': 0.6477645873467984}",balanced,0.9165648014994193,0.5919957206925033,100,0.02682467519392734,-1,root_mean_squared_error,27,12,132,1,regression,0.3449263493483016,0.832065885165247,99999,2,serial,True,1,0.0437992154340288,147.60840535163882,1,23b6e486
{'gbdt': 0.9812198552763494},{'gbdt': 16},false,"{'boosting_type': 'gbdt', 'subsample': 0.7590052705738796}",balanced,0.6588034764371523,0.39383271781243,100,0.009502463766355836,-1,root_mean_squared_error,21,15,50,1,regression,0.9913147097827125,0.13184093604223102,99999,5,serial,True,1,0.03526427947250815,202.9953455924988,1,7b16e276
{'gbdt': 0.9972906457671206},{'gbdt': 8},false,"{'boosting_type': 'gbdt', 'subsample': 0.6057947041550956}",balanced,0.8973887358992904,0.20348693789194827,100,0.018794731715944164,-1,root_mean_squared_error,8,18,105,1,regression,0.3714814720712893,0.7767610201024708,99999,1,serial,True,1,0.016759798786316654,149.083904504776,1,834e0964
{'gbdt': 0.9782825091719559},{'gbdt': 1},false,{'boosting_type': 'goss'},,0.9243295199097057,0.7042758405559048,100,0.08905465469474061,-1,root_mean_squared_error,51,5,43,1,regression,0.938662630204013,0.5501984697266915,99999,3,serial,True,1,0.037960951298841576,136.55558514595032,1,bfbe65ee
{'gbdt': 0.9836273095139791},{'gbdt': 4},false,"{'boosting_type': 'gbdt', 'subsample': 0.6176047628879149}",balanced,0.8780789815722829,0.20270432231107527,100,0.01063030219795945,-1,root_mean_squared_error,84,15,98,1,regression,0.17587663494852895,0.5723273992437043,99999,9,serial,True,1,0.038431377052874686,250.8770432472229,1,892fcfbe
{'gbdt': 0.9995673387856241},{'gbdt': 12},false,"{'boosting_type': 'gbdt', 'subsample': 0.5036435998472086}",balanced,0.9615485478725677,0.20100226962936352,100,0.010179838013574135,-1,root_mean_squared_error,75,13,109,1,regression,0.1893050774850381,0.5261999243283086,99999,8,serial,True,1,0.036202788561239964,247.5890212059021,1,69241604
{'gbdt': 0.9870081615305679},{'gbdt': 23},false,"{'boosting_type': 'gbdt', 'subsample': 0.556622291288356}",,0.9281565738360331,0.09792955902622004,100,0.00842707068965666,-1,root_mean_squared_error,55,7,137,1,regression,0.7488080577316656,0.5914637321932792,99999,13,serial,True,1,0.03752472322893731,227.08658576011658,1,f925e40a
{'gbdt': 0.9950406360354962},{'gbdt': 22},false,"{'boosting_type': 'gbdt', 'subsample': 0.5703447840818158}",balanced,0.9075228009423584,0.22974137987917229,100,0.009233965650090768,-1,root_mean_squared_error,45,17,117,1,regression,0.4652770843195194,0.5985336548445305,99999,5,serial,True,1,0.036025144466925466,217.47424697875977,1,77ad4506
{'gbdt': 0.9602003880019958},{'gbdt': 11},false,"{'boosting_type': 'gbdt', 'subsample': 0.9439970718651465}",balanced,0.7401244478695276,0.9706105887628224,100,0.06519616698584736,-1,root_mean_squared_error,94,10,150,1,regression,0.502786595873896,0.05924653795641868,99999,13,serial,True,1,0.058586976555865915,145.07093524932858,1,7289cc68
{'gbdt': 0.9998654654768455},{'gbdt': 17},false,"{'boosting_type': 'gbdt', 'subsample': 0.5861160767895487}",,0.8356052836882902,0.19205425746805083,100,0.03205259437806345,-1,root_mean_squared_error,15,11,106,1,regression,0.34638718018638665,0.4948059529773742,99999,12,serial,True,1,0.03948289858924597,163.14828324317932,1,e17104fa
{'gbdt': 0.9987110340985295},{'gbdt': 12},false,"{'boosting_type': 'gbdt', 'subsample': 0.5561585717348406}",balanced,0.9263669056622258,0.5054756784371341,100,0.017790237297924144,-1,root_mean_squared_error,50,15,139,1,regression,0.4441471390728824,0.43445224140357197,99999,10,serial,True,1,0.04316961367563366,167.94851231575012,1,0e56a916
{'gbdt': 0.9829106034445872},{'gbdt': 15},false,"{'boosting_type': 'gbdt', 'subsample': 0.6432125368622442}",balanced,0.8804366274409224,0.23830500113651215,100,0.011031579915019293,-1,root_mean_squared_error,35,18,149,1,regression,0.09162880604617532,0.8184993314984682,99999,5,serial,True,1,0.03824572289393036,228.314975976944,1,fc0d42c4
{'gbdt': 0.9786674286932749},{'gbdt': 20},false,{'boosting_type': 'goss'},balanced,0.9359843117671781,0.49295748957914676,100,0.012536532068859496,-1,root_mean_squared_error,69,19,146,1,regression,0.004938948110953412,0.42417343299694144,99999,9,serial,True,1,0.04538289012372145,186.4739100933075,1,1f9bf11e
{'gbdt': 0.9673248200892548},{'gbdt': 15},false,"{'boosting_type': 'gbdt', 'subsample': 0.7926054311446283}",,0.9647543279096075,0.29733482103264364,100,0.040645384965889236,-1,root_mean_squared_error,88,5,99,1,regression,0.962936432394599,0.9089878073995609,99999,1,serial,True,1,0.015779095200365568,142.61639595031738,1,63b333ce
{'gbdt': 0.9627622765142498},{'gbdt': 2},false,"{'boosting_type': 'gbdt', 'subsample': 0.7203860961907884}",balanced,0.8832387097016737,0.05033274101995816,100,0.005182837115282613,-1,root_mean_squared_error,95,18,87,1,regression,0.5511692235612788,0.8328228098240543,99999,10,serial,True,1,0.04631653463817671,177.7028558254242,1,a07e5d9a
{'gbdt': 0.9952021966543986},{'gbdt': 8},false,{'boosting_type': 'goss'},balanced,0.972670125711428,0.05017935092792922,100,0.018396343070165192,-1,root_mean_squared_error,90,15,142,1,regression,0.0889618511159474,0.9186961489279205,99999,10,serial,True,1,0.04497198702577294,165.79366230964658,1,eb149066
